,player_name,offense,defense,net
0,Aaron Connolly,-0.0005986787899105983,0.007071276088058153,-0.007669954877968751
1,Aaron Cresswell,-0.035006900106365826,0.002985837481351025,-0.03799273758771685
2,Aaron Hickey,-0.07134550650411081,0.02999549579318448,-0.10134100229729529
3,Aaron Hunt,-0.003340471472331146,-0.007078770071828605,0.0037382985994974596
4,Aaron Lennon,-0.06903042504260425,0.03466300126492604,-0.10369342630753028
5,Aaron Leya Iseka,-0.011255923070690082,-0.019382916198034793,0.008126993127344712
6,Aaron Mooy,-0.04805939475195562,-0.013449357191172235,-0.03461003756078339
7,Aaron Ramsey,0.10736491129523379,-0.0004317378621657649,0.10779664915739956
8,Aaron Ramsey_2,-0.0015276573176132885,0.0038920201769221795,-0.005419677494535468
9,Aaron Wan-Bissaka,0.04410081622589124,-0.08617229023724594,0.13027310646313717
10,Aarón Martín,0.009525793855544676,0.02907485903068126,-0.019549065175136583
11,Abakar Sylla,0.021048813138779845,-0.024431925314595287,0.045480738453375136
12,Abdallah Sima,-0.026490915878312035,0.012899820607011562,-0.039390736485323596
13,Abde Ezzalzouli,-0.0519376955590678,-0.03964465998405009,-0.012293035575017708
14,Abdel Abqar,-0.032940864280727275,-0.06598312459689654,0.03304226031616926
15,Abdelhamid Sabiri,-0.09101360611818457,0.18358217508324112,-0.2745957812014257
16,Abdou Diallo,-0.07850700377384182,0.11500240877711249,-0.1935094125509543
17,Abdou Harroui,-0.033674179169455684,-0.028147463040787666,-0.005526716128668018
18,Abdoul Kader Bamba,0.045263036925562,-0.002341187977886669,0.04760422490344867
19,Abdoulaye Ba,-0.02774788274430327,-0.014633458464369184,-0.013114424279934086
20,Abdoulaye Bamba,-0.09487839850800778,-0.03784045440293594,-0.05703794410507184
21,Abdoulaye Doucouré,-0.02670481313655549,0.07828801542337126,-0.10499282855992675
22,Abdoulaye Touré,0.0012733431420486737,-0.00947822203257694,0.010751565174625614
23,Abdu Conté,-0.07748327385377538,-0.03422464138171179,-0.04325863247206359
24,Abdukodir Khusanov,0.007457102951424433,0.007071965173645364,0.00038513777777906925
25,Abdul Majeed Waris,-0.054043241731339405,0.0027173590952216738,-0.05676060082656108
26,Abdul Mumin,-0.009548627158301128,0.07437707521032941,-0.08392570236863053
27,Abdón Prats,-0.0240743812919899,-0.014682837291390314,-0.009391544000599586
28,Abner,-0.006201833124507619,0.06848721530098358,-0.07468904842549119
29,Achraf Hakimi,0.21462165198319733,-0.061961825875431906,0.27658347785862925
30,Adam Armstrong,-0.014389233137623953,0.02250079595703884,-0.036890029094662796
31,Adam Bodzek,-0.037858598791255166,0.08213853040497167,-0.11999712919622683
32,Adam Forshaw,0.020540914076033562,0.0760544745785063,-0.055513560502472734
33,Adam Hložek,0.006681708642773254,-0.021360768176102794,0.028042476818876047
34,Adam Lallana,-0.011334209638778337,-0.08822892909706682,0.07689471945828849
35,Adam Marušić,0.03638561748922231,-0.12003349770726807,0.15641911519649038
36,Adam Masina,-0.1317723808576176,0.05764022078507863,-0.18941260164269624
37,Adam Obert,0.036209821678672045,-0.002292021123889117,0.038501842802561165
38,Adam Ounas,0.15813557407933612,-0.03349587043104418,0.1916314445103803
39,Adam Smith,-0.056613751032865485,-0.0006976007309627459,-0.05591615030190274
40,Adam Webster,0.06449489836719545,-0.052115144719070854,0.1166100430862663
41,Adam Wharton,-0.00842881650074637,0.016898692196968164,-0.025327508697714534
42,Adama Mbengue,0.03712073136606292,-0.018454280267372444,0.05557501163343537
43,Adama Niane,-0.06756450791984006,0.021285595241384146,-0.08885010316122421
44,Adama Soumaoro,-0.04865105343690183,0.08147312651618051,-0.13012417995308234
45,Adama Traoré,0.012209695151333133,0.018549025740844646,-0.006339330589511513
46,Aday,0.04031360812046261,-0.049496512608053725,0.08981012072851634
47,Adem Ljajić,-0.023705246244838434,0.007616130225512566,-0.031321376470351
48,Ademola Lookman,0.04898482632139864,0.03583074216093186,0.013154084160466782
49,Adil Aouchiche,-0.04358042191064748,-0.019145750030435296,-0.024434671880212186
50,Adil Rami,0.04186287756229286,-0.024930946473343738,0.06679382403563659
51,Admir Mehmedi,0.022750707515447274,-0.006739190818961023,0.029489898334408297
52,Adnan Januzaj,0.05362573342014583,0.02579034370425324,0.02783538971589259
53,Adri Embarba,-0.05295344111539931,0.016525434257879498,-0.0694788753732788
54,Adrian Beck,-0.014736939362437846,0.01125269877352679,-0.025989638135964638
55,Adrian Mariappa,-0.05147757559963438,0.09641482790563205,-0.14789240350526645
56,Adrian Stoian,-0.04382928453111599,0.006910736430557807,-0.05074002096167379
57,Adrien Hunou,0.05156711048468453,0.01169833664812009,0.03986877383656444
58,Adrien Rabiot,-0.061978431057703356,-0.19962447192944063,0.13764604087173726
59,Adrien Silva,0.08854156081442002,0.040993618017536926,0.0475479427968831
60,Adrien Tameze,-0.08128075863369208,-0.08438036238986069,0.0030996037561686063
61,Adrien Thomasson,-0.05399461849882942,-0.0688234532238165,0.014828834724987076
62,Adrien Truffert,0.006073969613204233,0.015899656336897005,-0.009825686723692773
63,Adrià Altimira,-0.02393749513251675,0.04732283938736808,-0.07126033451988484
64,Adrià Pedrosa,-0.03847059881342999,-0.07590741333032928,0.03743681451689929
65,Adrián González,-0.05139991558571953,0.03314626293645687,-0.08454617852217641
66,Adrián López,0.029069101933711275,0.0038015021584341556,0.02526759977527712
67,Afriyie Acquah,-0.01339282724451289,-0.00187865159718623,-0.01151417564732666
68,Agustín Rogel,-0.05748058001754762,0.07445649191669526,-0.13193707193424287
